timestampMs,keys_typed,errors,total_words_completed
1776744950189,0,0,0
1776744951189,4,1,0
1776744952189,3,0,0
1776744953189,8,0,2
1776744954190,3,2,2
1776744955190,4,1,2
1776744956190,4,0,2
1776744957190,4,1,2
1776744958190,6,0,3
1776744959191,5,2,3
1776744960191,6,0,4
1776744961191,5,0,5
1776744962191,7,0,5
1776744963191,4,0,6
1776744964192,7,0,7
1776744965192,7,0,8
1776744966192,8,0,9
1776744967192,4,0,10
1776744968192,9,0,11
1776744969192,7,0,12
1776744970193,6,0,12
1776744971193,6,0,13
1776744972193,8,0,13
1776744973193,5,0,14
1776744974193,5,3,14
1776744975193,3,0,14
1776744976193,6,0,15
1776744977194,11,0,16
1776744978194,6,0,16
1776744979194,4,0,17
1776744980194,6,0,18
1776744981194,4,0,18
1776744982194,3,1,19
1776744983195,2,1,19
1776744984195,5,0,20
1776744985195,6,0,21
1776744986195,5,0,22
1776744987195,2,0,22
1776744988195,6,0,23
1776744989195,4,0,24
1776744990196,5,0,25
1776744991196,4,2,25
1776744992196,4,0,26
1776744993196,6,0,26
1776744994196,7,0,27
1776744995196,8,0,27
1776744996197,3,0,28
1776744997197,6,0,29
1776744998197,10,0,30
1776744999197,8,0,31
1776745000197,6,0,32
1776745001198,8,0,33
1776745002198,3,0,33
1776745003198,8,0,33
1776745004198,6,0,34
1776745005198,5,0,34
1776745006198,6,0,36
1776745007199,6,0,36
1776745008199,3,0,37
1776745009199,6,0,38
1776745010199,8,0,38
1776745011199,5,0,39
1776745012199,7,0,40
1776745013199,2,0,40
1776745014200,7,0,41
1776745015200,5,0,42
1776745016200,9,0,42
1776745017200,5,2,43
1776745018200,2,0,43
1776745019200,9,0,44
1776745020201,4,0,44
1776745021201,8,0,46
1776745022201,4,0,46
1776745023201,5,0,47
1776745024201,7,0,48
1776745025201,7,0,49
1776745026201,7,0,50
1776745027202,8,0,51
1776745028202,2,1,51
1776745029202,7,0,52
1776745030202,5,0,53
1776745031202,8,0,54
1776745032203,5,0,55
1776745033203,6,0,56
1776745034203,8,0,57
1776745035203,8,0,58
1776745036203,6,0,59
1776745037203,4,0,59
1776745038204,7,0,60
1776745039204,8,0,61
1776745040204,4,0,61
1776745041204,7,0,62
1776745042204,7,0,64
1776745043204,6,3,64
1776745044205,8,0,65
1776745045205,2,2,65
1776745046205,6,0,65
1776745047205,6,0,66
1776745048205,8,0,68
1776745049205,4,4,68
1776745050206,5,0,69
1776745051206,8,0,70
1776745052206,6,0,71
1776745053206,7,0,72
1776745054206,5,0,72
1776745055206,6,0,73
1776745056206,8,0,74
1776745057207,7,0,75
1776745058207,6,0,75
1776745059207,5,0,76
