timestampMs,keys_pressed,errors,total_correct
1776745867415,0,0,0
1776745868415,1,0,1
1776745869415,2,0,3
1776745870415,2,0,5
1776745871415,2,0,7
1776745872415,1,0,8
1776745873416,1,0,9
1776745874416,2,0,11
1776745875416,1,0,12
1776745876416,2,0,14
1776745877416,2,0,16
1776745878417,1,0,17
1776745879417,1,0,18
1776745880417,2,0,20
1776745881417,1,0,21
1776745882417,2,0,23
1776745883417,2,0,25
1776745884418,1,0,26
1776745885418,2,0,28
1776745886418,1,0,29
1776745887418,2,0,31
1776745888418,1,0,32
1776745889419,2,0,34
1776745890419,2,0,36
1776745891419,1,0,37
1776745892419,2,0,39
1776745893419,2,0,41
1776745894420,2,0,43
1776745895420,2,0,45
1776745896420,2,0,47
1776745897420,1,0,48
1776745898420,2,0,50
1776745899421,1,0,51
1776745900421,2,0,53
1776745901421,1,0,54
1776745902421,2,0,56
1776745903421,1,0,57
1776745904422,2,0,59
1776745905422,2,0,61
1776745906422,2,0,63
1776745907422,1,0,64
1776745908422,2,0,66
1776745909423,1,0,67
1776745910423,2,0,69
1776745911423,2,0,71
1776745912423,1,0,72
1776745913424,1,0,73
1776745914424,1,0,74
1776745915424,1,0,75
1776745916424,1,0,76
1776745917424,2,0,78
1776745918425,1,0,79
1776745919425,2,0,81
1776745920425,1,0,82
1776745921425,2,0,84
1776745922426,1,1,84
1776745923426,1,0,85
1776745924426,1,0,86
1776745925426,2,0,88
1776745926426,1,0,89
1776745927426,1,0,90
1776745928427,2,0,92
1776745929427,1,0,93
1776745930427,2,0,95
1776745931427,2,0,97
1776745932427,2,0,99
1776745933427,1,0,100
1776745934428,1,0,101
1776745935428,2,0,103
1776745936428,2,0,105
1776745937428,2,0,107
1776745938428,1,0,108
1776745939429,1,0,109
1776745940429,2,0,111
1776745941429,1,1,111
1776745942429,0,0,111
1776745943429,1,0,112
1776745944429,2,0,114
1776745945430,1,0,115
1776745946430,2,0,117
1776745947430,1,0,118
1776745948430,2,0,120
1776745949430,2,0,122
1776745950430,1,0,123
1776745951431,1,0,124
1776745952431,2,0,126
1776745953431,2,0,128
1776745954431,1,0,129
1776745955431,1,0,130
1776745956431,2,0,132
1776745957432,1,0,133
1776745958432,1,0,134
1776745959432,1,0,135
1776745960432,1,0,136
1776745961432,2,0,138
1776745962433,2,0,140
1776745963433,1,0,141
1776745964433,1,1,141
1776745965433,1,0,142
1776745966433,1,0,143
1776745967434,1,0,144
1776745968434,1,0,145
1776745969434,1,0,146
1776745970435,1,0,147
1776745971435,2,0,149
1776745972435,2,0,151
1776745973435,1,0,152
1776745974435,2,0,154
1776745975435,0,0,154
1776745976436,1,0,155
1776745977436,2,0,157
1776745978436,1,0,158
1776745979436,1,0,159
1776745980436,1,0,160
1776745981437,2,0,162
1776745982437,1,1,162
1776745983437,1,0,163
1776745984437,0,0,163
1776745985437,1,0,164
1776745986437,2,0,166
1776745987438,1,0,167
1776745988438,1,0,168
1776745989438,2,0,170
1776745990438,1,0,171
1776745991438,1,0,172
1776745992438,1,0,173
1776745993439,2,0,175
1776745994439,1,0,176
1776745995439,1,0,177
1776745996439,0,0,177
1776745997439,1,0,178
1776745998439,2,0,180
1776745999440,1,0,181
1776746000440,1,0,182
1776746001440,1,0,183
1776746002440,1,0,184
1776746003440,1,0,185
1776746004441,2,0,187
1776746005441,1,0,188
1776746006441,2,0,190
1776746007441,2,0,192
1776746008441,2,0,194
1776746009441,1,0,195
1776746010442,1,0,196
1776746011442,2,0,198
1776746012442,1,0,199
1776746013442,2,0,201
1776746014442,1,0,202
1776746015442,1,0,203
1776746016443,2,0,205
1776746017443,1,0,206
1776746018443,1,1,206
1776746019443,1,0,207
1776746020443,2,0,209
1776746021443,1,0,210
1776746022444,2,0,212
1776746023444,1,0,213
1776746024444,2,0,215
1776746025444,1,0,216
1776746026444,1,0,217
1776746027444,1,0,218
1776746028445,1,0,219
