timestampMs,keys_pressed,errors,total_correct
1776756850782,0,0,0
1776756851782,2,0,0
1776756852782,8,0,1
1776756853783,7,1,1
1776756854783,5,0,1
1776756855783,12,0,3
1776756856783,11,0,4
1776756857784,7,2,4
1776756858784,1,1,4
1776756859784,6,0,5
1776756860784,11,0,6
1776756861784,9,0,7
1776756862784,7,0,8
1776756863785,5,0,8
1776756864785,5,0,9
1776756865785,10,0,11
1776756866785,10,0,12
1776756867785,12,0,13
1776756868785,7,0,14
1776756869785,10,0,15
1776756870786,8,0,16
1776756871786,10,0,17
1776756872786,8,0,18
1776756873786,8,0,19
1776756874786,9,0,21
1776756875786,4,0,21
1776756876787,9,0,22
1776756877787,12,0,23
1776756878787,4,3,24
1776756879787,4,0,25
1776756880787,5,0,25
1776756881788,7,0,27
1776756882788,11,0,28
1776756883788,11,0,29
1776756884788,1,1,29
1776756885788,9,0,30
1776756886788,9,0,31
1776756887789,9,0,32
1776756888789,6,0,33
1776756889789,6,0,33
1776756890789,7,0,34
1776756891789,7,0,35
1776756892790,9,0,36
1776756893790,5,0,37
1776756894790,9,0,38
1776756895790,10,0,40
1776756896790,6,0,40
1776756897790,6,0,41
1776756898790,7,0,42
1776756899791,5,0,42
1776756900791,8,0,43
1776756901791,7,0,44
1776756902791,5,0,45
1776756903791,8,0,46
1776756904791,10,0,47
1776756905791,9,1,48
1776756906792,5,1,48
1776756907792,8,0,49
1776756908792,4,0,50
1776756909792,8,0,51
1776756910793,4,0,52
1776756911793,1,0,52
1776756912793,9,0,52
1776756913793,12,0,54
1776756914793,11,0,55
1776756915794,8,0,57
1776756916794,9,1,58
1776756917794,3,1,58
1776756918794,5,0,58
1776756919794,9,0,60
1776756920795,13,0,61
1776756921795,9,2,62
1776756922795,1,1,62
1776756923795,7,0,63
1776756924795,9,0,64
1776756925796,9,0,65
1776756926796,11,0,66
1776756927796,10,4,67
1776756928796,6,0,67
1776756929796,9,0,69
1776756930796,7,0,70
1776756931796,4,2,70
1776756932797,8,0,71
1776756933797,8,0,72
1776756934797,10,0,74
1776756935797,8,0,75
1776756936797,4,0,76
1776756937797,6,0,77
1776756938797,5,2,77
1776756939798,4,0,77
1776756940798,9,0,78
1776756941798,9,0,79
1776756942798,9,0,81
1776756943798,10,0,82
1776756944798,9,0,83
1776756945798,3,1,83
1776756946799,11,0,85
1776756947799,2,0,85
1776756948799,6,0,86
1776756949799,6,0,87
1776756950799,9,0,88
1776756951799,10,0,89
1776756952800,8,0,91
1776756953800,9,0,92
1776756954800,9,0,93
1776756955800,5,2,93
1776756956800,4,0,94
1776756957800,9,0,95
1776756958800,10,0,96
1776756959800,8,0,98
1776756960801,10,0,99
1776756961801,9,0,101
1776756962801,8,0,102
1776756963801,6,1,102
1776756964801,7,0,102
1776756965802,7,0,103
1776756966802,5,0,104
1776756967802,10,0,106
1776756968802,3,1,106
1776756969802,7,1,107
1776756970802,1,0,107
1776756971802,11,0,108
1776756972802,10,0,110
1776756973803,7,0,111
1776756974803,9,0,112
1776756975803,10,0,113
1776756976803,9,0,114
1776756977803,6,0,114
1776756978803,7,0,116
1776756979803,5,0,116
1776756980804,11,0,117
1776756981804,7,0,118
1776756982804,10,0,119
1776756983804,9,0,120
1776756984804,4,0,120
1776756985804,10,0,121
1776756986804,4,1,121
1776756987805,7,1,121
1776756988805,2,0,121
1776756989805,9,2,122
1776756990805,5,0,122
1776756991805,13,0,124
1776756992805,5,0,125
1776756993805,10,0,127
1776756994806,10,0,128
1776756995806,11,0,130
1776756996806,12,0,131
1776756997806,9,0,132
1776756998807,9,2,133
1776756999807,3,0,133
1776757000807,11,0,134
1776757001807,4,0,135
1776757002807,3,1,135
1776757003807,10,0,136
1776757004807,11,0,137
1776757005808,8,0,138
1776757006808,10,0,139
1776757007808,10,0,140
1776757008808,13,0,142
1776757009808,8,0,143
1776757010808,8,0,143
1776757011808,3,0,144
1776757012809,6,1,144
1776757013809,10,0,145
1776757014809,11,4,146
1776757015809,4,0,146
1776757016809,9,0,148
1776757017809,8,1,149
1776757018809,5,0,149
1776757019809,10,0,151
1776757020810,5,0,152
1776757021810,7,3,152
1776757022810,5,0,152
1776757023810,9,0,153
1776757024810,9,0,155
1776757025811,11,0,156
1776757026811,10,1,157
1776757027811,3,0,157
1776757028811,8,0,158
1776757029811,11,0,159
1776757030811,7,0,160
1776757031811,8,0,160
1776757032812,7,0,162
1776757033812,5,3,162
1776757034812,6,0,163
1776757035812,6,0,163
1776757036812,6,0,164
1776757037813,3,3,164
1776757038813,6,1,164
1776757039813,4,0,164
1776757040813,6,4,164
1776757041813,11,0,165
1776757042813,9,0,166
1776757043813,8,0,167
1776757044814,12,0,168
1776757045814,8,0,169
1776757046814,7,0,169
1776757047814,8,0,171
1776757048814,5,0,172
1776757049814,3,2,172
1776757050815,9,2,173
1776757051815,3,1,173
1776757052815,7,4,173
1776757053815,6,0,173
1776757054815,9,0,175
1776757055815,9,0,176
1776757056816,12,0,177
1776757057816,10,0,178
1776757058816,12,0,180
1776757059816,7,0,181
1776757060816,8,0,181
1776757061816,7,0,182
1776757062816,7,0,183
1776757063817,8,0,184
1776757064817,7,0,185
1776757065817,7,0,186
1776757066817,3,1,187
1776757067818,5,0,187
1776757068818,7,0,188
1776757069818,10,0,189
1776757070818,7,0,190
1776757071818,4,4,190
1776757072818,5,5,190
1776757073818,3,0,190
1776757074819,8,0,191
1776757075819,5,3,191
1776757076819,8,0,192
1776757077819,8,0,193
1776757078819,9,0,194
1776757079820,4,2,194
1776757080820,4,0,194
1776757081820,8,0,195
1776757082820,8,0,197
1776757083820,9,0,198
1776757084820,7,3,198
1776757085820,8,0,199
1776757086821,8,0,201
1776757087821,5,0,202
1776757088821,3,2,202
1776757089821,11,0,203
1776757090821,9,0,205
1776757091821,10,0,206
1776757092821,10,0,207
1776757093822,6,0,208
1776757094822,6,0,209
1776757095822,11,0,211
1776757096822,5,0,212
1776757097822,11,0,213
1776757098822,3,2,213
1776757099823,9,0,214
1776757100823,5,0,214
1776757101823,6,0,215
1776757102823,10,1,217
1776757103823,1,0,217
1776757104823,9,3,217
1776757105824,5,0,218
1776757106824,5,5,218
1776757107824,5,0,218
1776757108824,10,0,219
1776757109824,9,0,220
1776757110824,10,0,222
1776757111825,7,0,223
1776757112825,7,0,223
1776757113825,9,0,225
1776757114825,10,0,226
1776757115825,4,1,227
1776757116825,9,0,227
1776757117826,8,0,228
1776757118826,7,0,229
1776757119826,8,0,231
1776757120826,2,1,231
1776757121826,6,3,231
1776757122826,6,0,231
1776757123826,11,0,232
1776757124827,10,0,233
1776757125827,8,0,234
1776757126827,6,0,235
1776757127827,5,0,236
1776757128827,8,0,237
1776757129827,9,0,238
1776757130828,4,1,239
1776757131828,5,2,239
1776757132828,9,0,240
1776757133828,5,2,240
1776757134828,4,0,240
1776757135828,7,0,241
1776757136828,8,0,243
1776757137829,9,0,244
1776757138829,9,0,245
1776757139829,7,0,246
1776757140829,9,0,247
1776757141829,8,0,249
1776757142829,5,1,250
1776757143829,6,2,250
1776757144831,11,0,251
1776757145831,9,1,252
1776757146831,3,0,252
1776757147831,7,1,253
1776757148832,3,0,253
