timestampMs,keys_pressed,errors,total_correct
1776805907295,0,0,0
1776805908296,0,0,0
1776805909296,0,0,0
1776805910296,3,0,3
1776805911296,2,0,5
1776805912296,2,0,7
1776805913297,2,0,9
1776805914297,2,0,11
1776805915297,2,0,13
1776805916297,1,0,14
1776805917297,2,0,16
1776805918297,2,0,18
1776805919298,2,0,20
1776805920298,2,1,21
1776805921298,2,0,23
1776805922298,1,0,24
1776805923298,1,1,24
1776805924298,3,0,27
1776805925299,1,0,28
1776805926299,2,0,30
1776805927299,1,0,31
1776805928299,2,0,33
1776805929299,1,0,34
1776805930300,2,0,36
1776805931300,2,1,37
1776805932300,1,0,38
1776805933300,1,0,39
1776805934300,2,0,41
1776805935300,2,0,43
1776805936301,1,0,44
1776805937301,2,0,46
1776805938301,1,0,47
1776805939301,2,0,49
1776805940301,2,1,50
1776805941301,0,0,50
1776805942301,2,0,52
1776805943302,2,0,54
1776805944302,1,0,55
1776805945302,2,1,56
1776805946302,1,0,57
1776805947302,2,1,58
1776805948302,1,0,59
1776805949303,1,0,60
1776805950303,1,0,61
1776805951303,2,0,63
1776805952303,1,0,64
1776805953303,2,0,66
1776805954303,1,0,67
1776805955304,1,0,68
1776805956304,2,0,70
1776805957304,1,0,71
1776805958304,1,0,72
1776805959304,1,1,72
1776805960304,3,0,75
1776805961305,1,0,76
1776805962305,1,0,77
1776805963305,2,0,79
1776805964305,2,0,81
1776805965305,2,0,83
1776805966305,2,0,85
1776805967306,2,0,87
1776805968306,1,0,88
1776805969306,1,0,89
1776805970306,1,0,90
1776805971307,2,0,92
1776805972307,2,0,94
1776805973307,2,1,95
1776805974307,0,0,95
1776805975307,1,1,95
1776805976308,1,0,96
1776805977308,1,0,97
1776805978308,2,0,99
1776805979308,2,0,101
1776805980308,1,0,102
1776805981308,1,0,103
1776805982309,2,0,105
1776805983309,2,0,107
1776805984309,2,0,109
1776805985309,1,0,110
1776805986309,1,0,111
1776805987310,1,0,112
1776805988310,1,0,113
1776805989310,1,1,113
1776805990310,1,0,114
1776805991311,2,0,116
1776805992311,2,0,118
1776805993311,2,1,119
1776805994311,1,0,120
1776805995311,1,0,121
1776805996311,2,0,123
1776805997312,2,0,125
1776805998312,1,0,126
1776805999312,2,0,128
1776806000312,1,0,129
1776806001312,1,1,129
1776806002312,1,0,130
1776806003313,2,0,132
1776806004313,2,1,133
1776806005313,0,0,133
1776806006313,1,1,133
1776806007313,1,0,134
1776806008314,1,0,135
1776806009314,2,0,137
1776806010314,1,1,137
1776806011314,1,0,138
1776806012314,2,0,140
1776806013314,2,0,142
1776806014315,2,0,144
1776806015315,2,0,146
1776806016315,1,0,147
1776806017315,2,0,149
1776806018315,1,0,150
1776806019315,3,0,153
1776806020316,2,0,155
1776806021316,2,1,156
1776806022316,0,0,156
1776806023316,2,0,158
1776806024316,1,0,159
1776806025316,1,0,160
1776806026317,1,1,160
1776806027317,1,0,161
1776806028317,2,0,163
1776806029317,1,1,163
1776806030317,2,0,165
1776806031318,1,0,166
1776806032318,1,0,167
1776806033318,2,1,168
1776806034318,0,0,168
1776806035319,2,0,170
1776806036319,1,0,171
1776806037319,0,0,171
1776806038319,3,0,174
1776806039319,2,0,176
1776806040320,1,1,176
1776806041320,2,1,177
1776806042320,0,0,177
1776806043320,1,0,178
1776806044321,1,1,178
1776806045321,1,1,178
1776806046321,1,0,179
1776806047321,1,0,180
1776806048321,2,0,182
1776806049321,0,0,182
1776806050322,1,0,183
1776806051322,1,0,184
1776806052322,2,0,186
1776806053322,1,0,187
1776806054322,2,0,189
1776806055323,1,0,190
1776806056323,1,0,191
1776806057323,1,0,192
1776806058323,2,1,193
1776806059323,0,0,193
1776806060324,2,0,195
1776806061324,1,0,196
1776806062324,1,0,197
1776806063324,2,0,199
1776806064324,1,0,200
1776806065325,1,0,201
1776806066325,2,0,203
1776806067325,2,0,205
1776806068325,1,0,206
1776806069325,2,0,208
1776806070325,1,0,209
1776806071326,1,0,210
1776806072326,2,0,212
1776806073326,3,0,215
1776806074326,1,0,216
1776806075326,2,0,218
1776806076326,2,0,220
1776806077327,2,0,222
1776806078327,1,0,223
1776806079327,2,0,225
1776806080327,2,0,227
1776806081327,2,0,229
1776806082327,1,0,230
1776806083328,3,0,233
1776806084328,1,0,234
1776806085328,2,0,236
1776806086328,1,0,237
1776806087328,2,0,239
1776806088328,2,0,241
1776806089329,2,0,243
1776806090329,1,0,244
1776806091329,2,0,246
1776806092329,2,0,248
1776806093329,1,0,249
1776806094330,2,0,251
1776806095330,2,0,253
1776806096330,1,0,254
1776806097330,2,0,256
1776806098330,1,0,257
1776806099330,3,0,260
1776806100331,1,0,261
1776806101331,2,0,263
1776806102331,2,0,265
1776806103331,2,0,267
1776806104331,2,0,269
1776806105331,2,0,271
1776806106332,2,0,273
1776806107332,1,1,273
1776806108332,1,0,274
1776806109332,2,0,276
1776806110332,1,0,277
1776806111333,1,1,277
1776806112333,0,0,277
1776806113333,2,0,279
1776806114333,2,0,281
1776806115333,1,0,282
1776806116333,1,0,283
