timestampMs,keys_pressed,errors,total_correct
1776807617819,0,0,0
1776807618819,0,0,0
1776807619819,2,0,2
1776807620820,2,0,4
1776807621820,2,0,6
1776807622820,2,0,8
1776807623820,2,0,10
1776807624821,3,0,13
1776807625821,1,1,13
1776807626821,1,0,14
1776807627821,2,0,16
1776807628821,2,0,18
1776807629821,1,0,19
1776807630822,2,0,21
1776807631822,2,0,23
1776807632822,3,0,26
1776807633822,2,1,27
1776807634822,1,0,28
1776807635822,2,0,30
1776807636823,1,0,31
1776807637823,2,2,31
1776807638823,1,1,31
1776807639823,1,0,32
1776807640823,2,0,34
1776807641824,1,1,34
1776807642824,0,0,34
1776807643824,2,0,36
1776807644824,2,0,38
1776807645824,2,0,40
1776807646824,1,0,41
1776807647825,2,0,43
1776807648825,2,0,45
1776807649825,2,0,47
1776807650825,2,0,49
1776807651825,1,1,49
1776807652826,1,0,50
1776807653826,2,0,52
1776807654826,1,0,53
1776807655826,2,0,55
1776807656826,2,0,57
1776807657827,1,0,58
1776807658827,2,0,60
1776807659827,1,0,61
1776807660827,2,0,63
1776807661827,2,0,65
1776807662827,1,1,65
1776807663828,2,0,67
1776807664828,2,0,69
1776807665828,2,0,71
1776807666828,1,1,71
1776807667828,2,0,73
1776807668828,2,0,75
1776807669828,2,0,77
1776807670829,1,1,77
1776807671829,1,0,78
1776807672829,1,0,79
1776807673829,2,0,81
1776807674829,2,0,83
1776807675830,1,0,84
1776807676830,1,0,85
1776807677830,1,1,85
1776807678830,2,0,87
1776807679830,2,0,89
1776807680830,2,0,91
1776807681831,1,0,92
1776807682831,1,0,93
1776807683831,2,0,95
1776807684831,2,0,97
1776807685832,1,0,98
1776807686832,2,0,100
1776807687832,2,0,102
1776807688832,1,0,103
1776807689832,2,0,105
1776807690832,1,0,106
1776807691833,2,0,108
1776807692833,2,0,110
1776807693833,2,0,112
1776807694833,1,0,113
1776807695833,2,0,115
1776807696833,1,0,116
1776807697834,2,0,118
1776807698834,2,0,120
1776807699834,2,0,122
1776807700834,1,0,123
1776807701834,1,0,124
1776807702835,2,0,126
1776807703835,1,0,127
1776807704835,2,1,128
1776807705835,1,0,129
1776807706835,2,0,131
1776807707836,1,0,132
1776807708836,2,0,134
1776807709836,2,0,136
1776807710836,1,0,137
1776807711836,1,0,138
1776807712837,2,0,140
1776807713837,2,0,142
1776807714837,2,0,144
1776807715837,2,0,146
1776807716838,2,0,148
1776807717838,1,0,149
1776807718838,2,0,151
1776807719838,1,0,152
1776807720838,2,0,154
1776807721838,1,0,155
1776807722839,2,0,157
1776807723839,2,0,159
1776807724839,2,0,161
1776807725839,1,0,162
1776807726839,2,0,164
1776807727839,2,0,166
1776807728840,2,0,168
1776807729840,1,0,169
1776807730840,2,0,171
1776807731840,1,0,172
1776807732840,2,0,174
1776807733840,1,1,174
1776807734841,1,0,175
1776807735841,2,0,177
1776807736841,1,0,178
1776807737841,2,0,180
1776807738841,2,0,182
1776807739842,1,0,183
1776807740842,2,0,185
1776807741842,1,0,186
1776807742842,1,0,187
1776807743842,2,0,189
1776807744843,1,1,189
1776807745843,2,0,191
1776807746843,2,0,193
1776807747843,1,1,193
1776807748843,1,0,194
1776807749844,1,0,195
1776807750844,2,0,197
1776807751844,1,0,198
1776807752844,2,0,200
1776807753844,2,0,202
1776807754845,2,0,204
1776807755845,1,0,205
1776807756845,2,0,207
1776807757845,1,0,208
1776807758845,2,0,210
1776807759846,1,1,210
1776807760846,1,0,211
1776807761846,1,0,212
1776807762846,2,0,214
1776807763846,2,0,216
1776807764846,3,0,219
1776807765847,1,1,219
1776807766847,1,0,220
1776807767847,1,0,221
1776807768847,1,0,222
1776807769847,2,0,224
1776807770847,2,0,226
1776807771848,2,0,228
1776807772848,1,1,228
1776807773848,1,0,229
1776807774848,3,0,232
1776807775848,1,0,233
1776807776849,2,0,235
1776807777849,2,0,237
1776807778849,2,0,239
1776807779849,1,0,240
1776807780849,2,1,241
1776807781850,0,0,241
1776807782850,3,0,244
1776807783850,1,0,245
1776807784850,2,0,247
1776807785850,2,1,248
1776807786850,1,0,249
1776807787851,1,0,250
1776807788851,2,0,252
1776807789851,2,0,254
1776807790851,1,1,254
1776807791851,1,0,255
1776807792852,1,0,256
1776807793852,1,0,257
1776807794852,1,0,258
1776807795852,1,1,258
1776807796852,2,0,260
1776807797853,2,0,262
1776807798853,2,0,264
1776807799853,1,0,265
1776807800853,2,0,267
1776807801853,1,0,268
1776807802853,2,1,269
1776807803854,2,1,270
1776807804854,1,0,271
1776807805854,1,0,272
1776807806854,2,0,274
1776807807855,2,0,276
1776807808855,2,1,277
1776807809855,0,0,277
1776807810855,2,0,279
1776807811855,2,0,281
1776807812855,2,0,283
1776807813856,2,0,285
1776807814856,1,0,286
1776807815856,2,0,288
1776807816856,1,0,289
1776807817857,2,0,291
1776807818857,2,0,293
1776807819857,1,0,294
1776807820857,1,1,294
1776807821857,1,0,295
1776807822858,2,0,297
1776807823858,2,1,298
1776807824858,2,0,300
1776807825858,2,0,302
1776807826858,1,0,303
1776807827858,1,0,304
1776807828859,2,0,306
1776807829859,1,1,306
1776807830859,1,0,307
1776807831859,2,0,309
1776807832860,1,1,309
1776807833860,0,0,309
1776807834860,2,0,311
1776807835860,2,0,313
1776807836860,2,0,315
1776807837861,2,0,317
1776807838861,1,0,318
1776807839861,2,0,320
1776807840861,1,0,321
1776807841861,2,0,323
1776807842861,2,1,324
1776807843862,0,0,324
1776807844862,2,0,326
1776807845862,2,0,328
1776807846862,1,0,329
1776807847862,2,0,331
1776807848862,2,0,333
1776807849862,2,0,335
1776807850863,1,0,336
1776807851863,2,0,338
1776807852863,1,0,339
1776807853863,2,0,341
1776807854863,2,0,343
1776807855864,2,1,344
1776807856864,1,0,345
1776807857864,1,0,346
1776807858864,2,1,347
1776807859864,0,0,347
1776807860864,2,0,349
1776807861865,2,0,351
1776807862865,2,0,353
1776807863865,3,0,356
1776807864865,1,0,357
1776807865865,1,0,358
1776807866865,1,0,359
1776807867866,2,0,361
1776807868866,2,0,363
1776807869866,1,0,364
1776807870866,2,0,366
1776807871866,2,0,368
1776807872867,1,0,369
1776807873867,2,0,371
1776807874867,1,0,372
1776807875867,2,0,374
1776807876867,2,0,376
1776807877868,2,0,378
1776807878868,3,2,379
1776807879868,1,0,380
1776807880868,2,1,381
1776807881868,0,0,381
1776807882869,2,0,383
1776807883869,1,1,383
1776807884869,1,0,384
1776807885869,2,0,386
1776807886869,1,0,387
1776807887870,2,1,388
1776807888870,1,1,388
1776807889870,1,0,389
1776807890870,1,0,390
1776807891870,2,0,392
1776807892870,1,0,393
1776807893871,1,0,394
1776807894871,2,0,396
1776807895871,2,0,398
1776807896872,2,0,400
1776807897872,1,0,401
1776807898872,2,0,403
1776807899872,2,1,404
1776807900872,1,0,405
1776807901872,2,0,407
1776807902873,2,0,409
1776807903873,2,0,411
1776807904873,2,0,413
1776807905873,2,1,414
1776807906873,3,0,417
1776807907873,1,0,418
1776807908873,2,0,420
1776807909874,1,0,421
1776807910874,2,1,422
1776807911874,1,0,423
1776807912874,1,0,424
1776807913874,2,0,426
1776807914874,2,0,428
1776807915875,2,0,430
