timestampMs,keys_pressed,errors,total_words,current_streak
1777278325209,0,0,0,0
1777278326210,5,0,0,0
1777278327210,7,0,1,1
1777278328210,6,0,2,2
1777278329210,6,0,3,3
1777278330210,9,0,4,4
1777278331211,10,0,5,5
1777278332211,9,0,6,6
1777278333211,9,0,7,7
1777278334211,9,0,9,9
1777278335211,8,2,10,0
1777278336212,4,2,10,0
1777278337212,4,2,10,0
1777278338212,7,0,11,1
1777278339212,10,0,12,2
1777278340212,9,1,13,0
1777278341212,2,0,13,0
1777278342213,6,0,14,1
1777278343213,7,0,15,2
1777278344213,7,0,16,3
1777278345213,9,1,17,0
1777278346213,4,0,17,0
1777278347213,8,0,18,1
1777278348214,6,1,19,0
1777278349214,4,0,19,0
1777278350214,9,0,20,1
1777278351214,9,0,21,2
1777278352214,9,0,22,3
1777278353214,7,0,23,4
1777278354215,5,2,23,0
1777278355215,4,1,24,0
1777278356215,9,0,25,1
1777278357215,6,0,25,1
1777278358215,9,0,27,3
1777278359216,10,0,27,3
1777278360216,8,0,28,4
1777278361216,10,0,30,6
1777278362216,8,0,31,7
1777278363216,7,1,32,0
1777278364216,1,1,32,0
1777278365217,8,0,33,1
1777278366217,11,0,35,3
1777278367217,9,0,36,4
1777278368217,4,2,36,0
1777278369217,8,0,37,1
1777278370217,3,0,38,2
1777278371218,7,0,39,3
1777278372218,12,0,40,4
1777278373218,9,0,40,4
1777278374218,10,0,41,5
1777278375218,13,0,42,6
1777278376218,10,0,44,8
1777278377218,8,0,45,9
1777278378219,9,0,46,10
1777278379219,9,0,47,11
1777278380219,10,0,48,12
1777278381219,10,0,50,14
1777278382219,7,0,51,15
1777278383219,8,0,52,16
1777278384220,10,0,53,17
1777278385220,3,0,53,17
1777278386220,3,0,53,17
1777278387220,8,0,54,18
1777278388220,6,0,54,18
1777278389220,7,2,55,0
1777278390220,4,0,55,0
1777278391221,6,0,56,1
1777278392221,8,0,57,2
1777278393221,6,0,58,3
1777278394221,10,0,59,4
1777278395221,11,0,61,6
1777278396221,7,0,61,6
1777278397222,6,0,63,8
1777278398222,8,1,64,0
1777278399222,7,0,64,0
1777278400222,6,0,66,2
1777278401222,9,0,66,2
1777278402222,4,0,67,3
1777278403222,9,0,68,4
1777278404223,11,0,69,5
1777278405223,10,0,70,6
1777278406223,8,0,71,7
1777278407223,7,3,72,0
1777278408223,3,0,72,0
1777278409223,6,0,73,1
1777278410223,6,0,74,2
1777278411224,8,0,75,3
1777278412224,10,2,76,0
1777278413225,3,1,76,0
1777278414225,9,0,77,1
1777278415225,9,1,78,0
1777278416225,4,0,78,0
1777278417226,6,0,79,1
1777278418226,6,0,79,1
1777278419226,8,0,80,2
1777278420226,9,0,81,3
1777278421227,11,0,82,4
1777278422227,10,0,84,6
1777278423227,9,0,85,7
1777278424227,8,0,86,8
1777278425227,10,0,87,9
1777278426227,10,2,88,0
1777278427227,5,0,88,0
1777278428227,4,0,89,1
1777278429227,8,0,90,2
1777278430228,2,2,90,0
1777278431228,7,0,91,1
1777278432228,10,1,92,0
1777278433228,4,0,92,0
1777278434228,7,0,93,1
1777278435228,4,0,94,2
1777278436228,8,0,95,3
1777278437229,7,0,96,4
1777278438229,10,0,98,6
1777278439229,6,1,98,0
1777278440229,2,0,98,0
1777278441229,9,0,99,1
1777278442230,8,0,99,1
1777278443230,9,0,100,2
1777278444230,3,2,100,0
1777278445230,9,0,102,2
1777278446231,2,0,102,2
1777278447231,10,0,103,3
1777278448231,10,0,104,4
1777278449231,8,0,105,5
1777278450231,7,0,106,6
1777278451232,4,0,106,6
1777278452232,10,0,107,7
1777278453232,8,0,108,8
1777278454232,11,0,109,9
1777278455232,7,0,110,10
1777278456232,11,0,112,12
1777278457233,10,0,114,14
1777278458233,7,0,115,15
1777278459233,11,0,116,16
1777278460233,12,0,118,18
1777278461233,11,0,119,19
1777278462234,11,0,120,20
1777278463234,10,0,122,22
1777278464234,7,0,123,23
1777278465235,8,1,124,0
1777278466235,0,0,124,0
1777278467235,8,0,125,1
1777278468235,11,0,126,2
1777278469236,7,0,127,3
1777278470236,10,0,128,4
1777278471236,9,0,129,5
1777278472236,10,0,131,7
1777278473236,11,0,132,8
1777278474236,11,0,133,9
1777278475236,9,0,134,10
1777278476237,12,0,136,12
1777278477237,8,0,137,13
1777278478237,9,0,138,14
1777278479237,9,0,138,14
1777278480237,9,0,140,16
1777278481237,8,0,141,17
1777278482237,12,0,143,19
1777278483238,11,0,144,20
1777278484238,10,0,145,21
1777278485238,10,0,147,23
1777278486238,1,1,147,0
1777278487238,3,2,147,0
1777278488238,10,0,148,1
1777278489239,9,0,149,2
1777278490239,8,1,150,0
1777278491239,2,0,150,0
1777278492239,7,0,151,1
1777278493239,4,0,151,1
1777278494239,3,2,151,0
1777278495239,7,0,152,1
1777278496240,8,2,153,0
1777278497240,5,0,153,0
1777278498240,5,0,155,2
1777278499240,9,0,157,4
1777278500241,8,0,159,6
1777278501241,5,0,159,6
1777278502242,11,0,161,8
1777278503242,9,0,161,8
1777278504242,6,1,163,0
1777278505242,5,0,164,1
1777278506243,9,0,165,2
1777278507243,9,0,166,3
1777278508243,8,0,166,3
1777278509243,10,0,167,4
1777278510243,6,1,168,0
1777278511244,7,0,169,1
1777278512244,3,2,169,0
1777278513244,12,0,170,1
1777278514244,7,0,171,2
1777278515244,10,0,172,3
1777278516245,8,0,174,5
1777278517245,9,0,174,5
1777278518245,3,0,175,6
1777278519245,3,0,176,7
1777278520245,10,0,177,8
1777278521245,8,0,178,9
1777278522246,8,0,179,10
1777278523246,10,0,180,11
1777278524246,7,1,181,0
1777278525246,0,0,181,0
1777278526246,5,0,182,1
1777278527246,9,0,182,1
1777278528247,6,0,183,2
1777278529247,5,0,184,3
1777278530247,9,0,184,3
1777278531247,9,1,186,0
1777278532247,4,3,186,0
1777278533247,10,0,187,1
1777278534248,5,2,188,0
1777278535248,7,0,188,0
1777278536248,9,0,189,1
1777278537248,6,0,190,2
1777278538248,8,0,191,3
1777278539249,7,0,191,3
1777278540249,8,0,193,5
1777278541249,5,2,193,0
1777278542249,7,0,193,0
1777278543249,5,1,194,0
1777278544249,10,0,195,1
1777278545250,8,0,196,2
1777278546250,5,0,197,3
1777278547250,12,0,198,4
1777278548250,10,0,199,5
1777278549250,10,0,200,6
1777278550250,8,0,201,7
1777278551251,7,0,202,8
1777278552251,9,0,203,9
1777278553251,7,0,204,10
1777278554251,9,0,205,11
1777278555251,3,0,206,12
1777278556251,4,4,206,0
1777278557251,10,0,207,1
1777278558251,8,0,207,1
1777278559252,6,0,208,2
1777278560252,3,1,208,0
1777278561252,5,0,208,0
1777278562252,5,0,209,1
1777278563252,5,0,210,2
1777278564252,7,1,210,0
1777278565253,5,2,210,0
1777278566253,5,0,211,1
1777278567253,10,0,212,2
1777278568253,7,0,214,4
1777278569253,9,0,215,5
1777278570254,1,1,215,0
1777278571254,9,0,216,1
1777278572254,6,0,218,3
1777278573254,10,0,219,4
1777278574255,9,0,220,5
1777278575255,7,0,221,6
1777278576255,8,0,222,7
1777278577255,8,0,223,8
1777278578255,5,0,223,8
1777278579256,7,0,224,9
1777278580256,10,0,225,10
1777278581256,8,0,226,11
1777278582256,6,2,227,0
1777278583257,1,1,227,0
1777278584257,5,0,227,0
1777278585257,7,0,228,1
1777278586257,8,0,229,2
1777278587258,11,0,230,3
1777278588258,6,0,231,4
1777278589258,10,0,232,5
1777278590258,7,0,233,6
1777278591258,8,0,234,7
1777278592258,9,0,236,9
1777278593259,8,0,236,9
1777278594259,9,0,238,11
1777278595259,6,0,239,12
1777278596259,9,0,240,13
1777278597259,6,1,241,0
1777278598259,3,2,241,0
1777278599260,5,0,241,0
1777278600260,3,2,241,0
1777278601260,3,0,241,0
1777278602260,8,0,242,1
1777278603260,7,0,244,3
1777278604260,6,2,244,0
1777278605261,0,0,244,0
1777278606261,0,0,244,0
1777278607261,6,0,245,1
1777278608261,8,0,245,1
1777278609261,5,2,246,0
1777278610261,10,0,246,0
1777278611262,6,0,248,2
1777278612262,6,0,248,2
1777278613262,4,0,249,3
1777278614262,12,0,251,5
1777278615263,8,0,251,5
1777278616263,9,0,253,7
1777278617263,7,1,254,0
1777278618263,2,0,254,0
1777278619263,7,0,254,0
1777278620263,8,0,256,2
1777278621263,9,0,257,3
1777278622263,8,0,257,3
1777278623263,11,0,258,4
