timestampMs,keys_pressed,errors,total_correct,current_streak
1777278855741,0,0,0,0
1777278856742,0,0,0,0
1777278857742,2,0,2,2
1777278858742,2,0,4,4
1777278859742,1,1,4,0
1777278860742,0,0,4,0
1777278861743,3,0,7,3
1777278862743,2,0,9,5
1777278863743,1,0,10,6
1777278864743,2,0,12,8
1777278865743,2,0,14,10
1777278866743,2,0,16,12
1777278867744,2,0,18,14
1777278868744,1,0,19,15
1777278869744,2,0,21,17
1777278870744,2,0,23,19
1777278871744,2,0,25,21
1777278872744,3,0,28,24
1777278873745,2,0,30,26
1777278874745,1,0,31,27
1777278875745,2,1,32,0
1777278876745,1,0,33,1
1777278877745,1,0,34,2
1777278878745,2,0,36,4
1777278879746,1,0,37,5
1777278880746,2,0,39,7
1777278881746,2,0,41,9
1777278882746,1,0,42,10
1777278883747,2,0,44,12
1777278884747,1,0,45,13
1777278885747,2,0,47,15
1777278886747,2,0,49,17
1777278887747,1,1,49,0
1777278888747,1,0,50,1
1777278889748,2,0,52,3
1777278890748,2,0,54,5
1777278891748,2,0,56,7
1777278892748,2,0,58,9
1777278893748,2,0,60,11
1777278894748,1,0,61,12
1777278895749,2,0,63,14
1777278896749,2,1,64,0
1777278897749,0,0,64,0
1777278898749,2,0,66,2
1777278899750,2,1,67,0
1777278900750,0,0,67,0
1777278901750,2,0,69,2
1777278902750,1,0,70,3
1777278903750,1,0,71,4
1777278904750,1,0,72,5
1777278905751,2,0,74,7
1777278906751,1,0,75,8
1777278907751,2,0,77,10
1777278908751,2,0,79,12
1777278909751,1,0,80,13
1777278910751,2,0,82,15
1777278911752,1,0,83,16
1777278912752,2,1,84,0
1777278913752,1,0,85,1
1777278914752,2,0,87,3
1777278915753,1,0,88,4
1777278916753,1,1,88,0
1777278917753,2,0,90,2
1777278918754,1,0,91,3
1777278919754,2,0,93,5
1777278920754,2,0,95,7
1777278921754,2,0,97,9
1777278922754,2,0,99,11
1777278923755,1,1,99,0
1777278924755,1,0,100,1
1777278925755,2,0,102,3
1777278926755,2,0,104,5
1777278927755,1,0,105,6
1777278928756,2,0,107,8
1777278929756,1,0,108,9
1777278930756,2,0,110,11
1777278931756,1,0,111,12
1777278932756,2,0,113,14
1777278933756,2,0,115,16
1777278934757,2,0,117,18
1777278935757,2,0,119,20
1777278936757,2,0,121,22
1777278937758,2,0,123,24
1777278938758,2,0,125,26
1777278939758,2,0,127,28
1777278940758,2,0,129,30
1777278941758,2,0,131,32
1777278942759,2,0,133,34
1777278943759,1,0,134,35
1777278944759,2,0,136,37
1777278945759,2,0,138,39
1777278946760,1,0,139,40
1777278947760,2,0,141,42
1777278948760,2,0,143,44
1777278949760,2,0,145,46
1777278950760,1,1,145,0
1777278951760,1,0,146,1
1777278952761,1,0,147,2
1777278953761,2,0,149,4
1777278954761,1,0,150,5
1777278955761,1,0,151,6
1777278956762,1,0,152,7
1777278957762,1,0,153,8
1777278958762,2,0,155,10
1777278959762,2,0,157,12
1777278960762,1,0,158,13
1777278961763,2,0,160,15
1777278962763,2,0,162,17
1777278963763,2,0,164,19
1777278964763,2,0,166,21
1777278965763,2,0,168,23
1777278966764,2,0,170,25
1777278967764,2,0,172,27
1777278968764,2,0,174,29
1777278969764,1,0,175,30
1777278970764,2,0,177,32
1777278971765,2,0,179,34
1777278972765,2,0,181,36
1777278973765,1,0,182,37
1777278974765,2,0,184,39
1777278975765,2,1,185,0
1777278976765,0,0,185,0
1777278977766,1,0,186,1
1777278978766,2,0,188,3
1777278979766,2,0,190,5
1777278980766,1,0,191,6
1777278981766,1,0,192,7
1777278982766,1,0,193,8
1777278983767,3,0,196,11
1777278984767,2,0,198,13
1777278985767,2,1,199,0
1777278986768,1,0,200,1
1777278987768,2,0,202,3
1777278988768,2,0,204,5
1777278989768,1,0,205,6
1777278990768,2,0,207,8
1777278991769,1,0,208,9
1777278992769,2,0,210,11
1777278993769,1,0,211,12
1777278994769,1,0,212,13
1777278995769,2,0,214,15
1777278996769,1,0,215,16
1777278997770,1,1,215,0
1777278998770,0,0,215,0
1777278999770,2,0,217,2
1777279000770,1,0,218,3
1777279001770,2,0,220,5
1777279002771,1,0,221,6
1777279003771,1,0,222,7
1777279004771,1,0,223,8
1777279005771,2,0,225,10
1777279006771,2,0,227,12
1777279007772,3,2,228,0
1777279008772,1,0,229,1
1777279009772,2,0,231,3
1777279010772,2,0,233,5
1777279011772,2,0,235,7
1777279012772,2,0,237,9
1777279013773,1,0,238,10
1777279014773,2,0,240,12
1777279015773,1,0,241,13
1777279016773,2,0,243,15
1777279017773,1,0,244,16
1777279018773,2,0,246,18
1777279019774,1,0,247,19
1777279020774,2,0,249,21
1777279021774,1,0,250,22
1777279022774,2,0,252,24
1777279023774,0,0,252,24
1777279024775,1,0,253,25
1777279025775,2,1,254,0
1777279026775,0,0,254,0
1777279027775,1,0,255,1
1777279028775,2,0,257,3
1777279029775,2,0,259,5
1777279030776,2,0,261,7
1777279031776,1,0,262,8
1777279032776,2,0,264,10
1777279033776,2,0,266,12
1777279034777,2,0,268,14
1777279035777,2,0,270,16
1777279036777,1,0,271,17
1777279037777,3,0,274,20
1777279038777,2,0,276,22
1777279039777,2,0,278,24
1777279040778,2,0,280,26
1777279041778,2,0,282,28
1777279042778,2,0,284,30
1777279043778,2,0,286,32
1777279044778,1,0,287,33
1777279045779,1,0,288,34
1777279046779,2,0,290,36
1777279047779,2,0,292,38
1777279048779,2,0,294,40
1777279049780,1,1,294,0
1777279050780,1,1,294,0
1777279051780,1,0,295,1
1777279052780,2,1,296,1
1777279053780,1,0,297,2
1777279054781,3,0,300,5
1777279055781,1,0,301,6
1777279056781,2,0,303,8
1777279057781,1,1,303,0
1777279058781,2,0,305,2
1777279059781,1,0,306,3
1777279060782,2,0,308,5
1777279061782,1,0,309,6
1777279062782,2,0,311,8
1777279063782,1,0,312,9
1777279064783,2,0,314,11
1777279065783,1,0,315,12
1777279066783,2,0,317,14
1777279067783,2,0,319,16
1777279068783,2,0,321,18
1777279069783,2,0,323,20
1777279070784,1,0,324,21
1777279071784,2,0,326,23
1777279072784,1,0,327,24
1777279073784,1,0,328,25
1777279074784,2,0,330,27
1777279075784,1,0,331,28
1777279076785,1,0,332,29
1777279077785,1,0,333,30
1777279078785,1,0,334,31
1777279079785,2,0,336,33
1777279080785,2,0,338,35
1777279081786,1,0,339,36
1777279082786,1,0,340,37
1777279083786,2,0,342,39
1777279084786,1,0,343,40
1777279085786,1,0,344,41
1777279086786,1,0,345,42
1777279087787,2,0,347,44
1777279088787,1,0,348,45
