timestampMs,keys_pressed,errors,total_correct,current_streak
1777279365010,0,0,0,0
1777279366010,1,0,1,1
1777279367010,2,0,3,3
1777279368010,2,0,5,5
1777279369011,1,0,6,6
1777279370011,2,0,8,8
1777279371011,2,0,10,10
1777279372012,2,0,12,12
1777279373012,2,0,14,14
1777279374012,3,0,17,17
1777279375012,1,0,18,18
1777279376012,3,0,21,21
1777279377013,1,0,22,22
1777279378013,2,0,24,24
1777279379013,2,0,26,26
1777279380013,2,0,28,28
1777279381013,1,0,29,29
1777279382013,2,0,31,31
1777279383014,2,0,33,33
1777279384014,2,1,34,0
1777279385014,0,0,34,0
1777279386014,1,0,35,1
1777279387014,2,0,37,3
1777279388015,2,0,39,5
1777279389015,2,0,41,7
1777279390015,2,0,43,9
1777279391015,2,0,45,11
1777279392015,2,0,47,13
1777279393015,2,0,49,15
1777279394016,1,0,50,16
1777279395016,2,1,51,0
1777279396016,0,0,51,0
1777279397016,2,0,53,2
1777279398016,1,0,54,3
1777279399017,1,0,55,4
1777279400017,2,0,57,6
1777279401017,2,0,59,8
1777279402017,2,0,61,10
1777279403017,2,0,63,12
1777279404017,1,0,64,13
1777279405018,2,0,66,15
1777279406018,2,0,68,17
1777279407018,2,0,70,19
1777279408018,2,0,72,21
1777279409018,2,0,74,23
1777279410019,2,0,76,25
1777279411019,2,0,78,27
1777279412019,2,0,80,29
1777279413019,1,0,81,30
1777279414019,2,0,83,32
1777279415019,2,0,85,34
1777279416148,0,0,85,34
1777279417148,1,0,86,35
1777279418148,2,0,88,37
1777279419148,1,0,89,38
1777279420148,2,0,91,40
1777279421148,2,0,93,42
1777279422149,1,1,93,0
1777279423149,1,0,94,1
1777279424149,2,0,96,3
1777279425149,1,0,97,4
1777279426150,1,0,98,5
1777279427150,2,0,100,7
1777279428150,2,0,102,9
1777279429150,1,0,103,10
1777279430150,1,0,104,11
1777279431150,3,2,105,0
1777279432151,1,0,106,1
1777279433151,2,0,108,3
1777279434151,1,0,109,4
1777279435151,2,0,111,6
1777279436152,1,0,112,7
1777279437152,2,0,114,9
1777279438152,2,0,116,11
1777279439152,2,0,118,13
1777279440152,1,0,119,14
1777279441152,2,0,121,16
1777279442152,2,0,123,18
1777279443153,1,0,124,19
1777279444153,1,0,125,20
1777279445153,2,0,127,22
1777279446153,1,1,127,0
1777279447153,2,0,129,2
1777279448154,2,0,131,4
1777279449154,3,0,134,7
1777279450154,2,0,136,9
1777279451154,2,0,138,11
1777279452154,2,0,140,13
1777279453155,1,0,141,14
1777279454155,2,0,143,16
1777279455155,3,0,146,19
1777279456155,2,0,148,21
1777279457155,0,0,148,21
1777279458155,2,0,150,23
1777279459155,2,0,152,25
1777279460156,2,0,154,27
1777279461156,1,0,155,28
1777279462156,2,0,157,30
1777279463156,0,0,157,30
1777279464157,2,0,159,32
1777279465157,2,0,161,34
1777279466157,2,0,163,36
1777279467157,1,0,164,37
1777279468158,2,0,166,39
1777279469158,1,0,167,40
1777279470158,1,0,168,41
1777279471158,2,0,170,43
1777279472158,2,0,172,45
1777279473158,2,0,174,47
1777279474159,2,0,176,49
1777279475159,1,0,177,50
1777279476159,2,0,179,52
