timestampMs,keys_pressed,errors,total_correct,current_streak
1777280363285,0,0,0,0
1777280364285,1,0,1,1
1777280365285,1,1,1,0
1777280366286,1,0,2,1
1777280367286,2,0,4,3
1777280368286,2,0,6,5
1777280369286,1,0,7,6
1777280370286,2,0,9,8
1777280371286,3,2,10,1
1777280372287,1,0,11,2
1777280373287,2,0,13,4
1777280374287,2,0,15,6
1777280375287,2,0,17,8
1777280376287,2,0,19,10
1777280377288,1,0,20,11
1777280378288,2,0,22,13
1777280379288,3,0,25,16
1777280380288,2,0,27,18
1777280381288,1,0,28,19
1777280382288,2,0,30,21
1777280383289,2,0,32,23
1777280384289,1,1,32,0
1777280385289,1,0,33,1
1777280386289,1,0,34,2
1777280387289,1,0,35,3
1777280388289,2,0,37,5
1777280389290,2,0,39,7
1777280390290,2,0,41,9
1777280391290,1,0,42,10
1777280392290,2,0,44,12
1777280393290,2,0,46,14
1777280394291,2,0,48,16
1777280395291,2,0,50,18
1777280396291,1,0,51,19
1777280397291,2,0,53,21
1777280398291,2,0,55,23
1777280399292,2,0,57,25
1777280400292,2,0,59,27
1777280401292,1,0,60,28
1777280402292,2,0,62,30
1777280403292,2,0,64,32
1777280404293,2,0,66,34
1777280405293,2,0,68,36
1777280406293,1,0,69,37
1777280407293,2,0,71,39
1777280408293,2,0,73,41
1777280409294,2,0,75,43
1777280410294,1,0,76,44
1777280411294,2,0,78,46
1777280412294,1,0,79,47
1777280413294,3,0,82,50
1777280414294,1,0,83,51
1777280415295,1,0,84,52
1777280416295,1,1,84,0
1777280417295,1,0,85,1
1777280418295,2,0,87,3
1777280419295,1,0,88,4
1777280420295,1,0,89,5
1777280421296,1,1,89,0
1777280422296,2,0,91,2
1777280423296,2,0,93,4
1777280424296,1,0,94,5
1777280425296,2,0,96,7
1777280426296,2,1,97,1
1777280427297,2,0,99,3
1777280428297,2,0,101,5
1777280429297,2,0,103,7
1777280430297,2,0,105,9
1777280431297,1,0,106,10
1777280432298,2,0,108,12
1777280433298,2,0,110,14
1777280434298,2,0,112,16
1777280435298,1,0,113,17
1777280436298,2,0,115,19
1777280437298,2,0,117,21
1777280438299,2,0,119,23
1777280439299,2,0,121,25
1777280440299,2,0,123,27
1777280441299,2,0,125,29
1777280442299,2,0,127,31
1777280443299,3,0,130,34
1777280444300,1,0,131,35
1777280445300,2,0,133,37
1777280446300,2,0,135,39
1777280447300,2,0,137,41
1777280448300,2,0,139,43
1777280449300,2,0,141,45
1777280450301,1,0,142,46
1777280451301,1,0,143,47
1777280452301,2,0,145,49
1777280453301,2,0,147,51
1777280454301,2,0,149,53
1777280455301,1,0,150,54
1777280456302,2,0,152,56
1777280457302,2,0,154,58
1777280458302,2,0,156,60
1777280459302,2,0,158,62
1777280460302,2,0,160,64
1777280461302,2,0,162,66
1777280462303,1,1,162,0
1777280463303,2,0,164,2
1777280464303,1,0,165,3
1777280465303,2,1,166,1
1777280466303,1,1,166,0
1777280467303,0,0,166,0
1777280468304,2,0,168,2
1777280469304,2,0,170,4
1777280470304,2,0,172,6
1777280471304,2,0,174,8
1777280472304,2,0,176,10
1777280473304,2,0,178,12
1777280474305,1,0,179,13
1777280475305,2,1,180,0
1777280476305,1,0,181,1
1777280477305,1,0,182,2
1777280478305,2,0,184,4
1777280479305,2,0,186,6
1777280480306,1,0,187,7
1777280481306,2,0,189,9
1777280482306,1,0,190,10
1777280483306,2,0,192,12
1777280484306,2,0,194,14
1777280485306,2,0,196,16
1777280486307,2,0,198,18
1777280487307,2,1,199,1
1777280488307,2,0,201,3
1777280489307,2,0,203,5
1777280490308,2,0,205,7
1777280491308,2,0,207,9
1777280492308,2,0,209,11
1777280493308,1,0,210,12
1777280494308,2,0,212,14
1777280495308,2,0,214,16
1777280496309,1,0,215,17
1777280497309,2,0,217,19
1777280498309,1,1,217,0
1777280499309,2,0,219,2
1777280500309,1,0,220,3
1777280501309,2,0,222,5
1777280502310,2,0,224,7
