timestampMs,keys_pressed,errors,total_words,current_streak
1777338242859,0,0,0,0
1777338243859,6,0,1,1
1777338244859,11,0,2,2
1777338245859,10,0,3,3
1777338246859,12,0,5,5
1777338247859,12,0,7,7
1777338248859,9,0,8,8
1777338249860,11,0,9,9
1777338250860,5,4,9,0
1777338251860,12,0,9,0
1777338252860,8,0,10,1
1777338253860,8,0,12,3
1777338254860,9,0,13,4
1777338255861,4,1,13,0
1777338256861,11,2,14,0
1777338257861,6,1,14,0
1777338258861,6,0,15,1
1777338259861,5,0,16,2
1777338260861,8,0,17,3
1777338261861,7,0,17,3
1777338262862,3,0,18,4
1777338263862,2,1,18,0
1777338264862,10,0,19,1
1777338265862,9,0,21,3
1777338266862,8,0,22,4
1777338267863,11,0,24,6
1777338268863,7,0,25,7
1777338269863,11,0,26,8
1777338270863,7,0,27,9
1777338271863,3,1,27,0
1777338272863,7,0,28,1
1777338273863,7,0,29,2
1777338274864,9,0,30,3
1777338275864,11,0,31,4
1777338276864,7,0,32,5
1777338277864,6,0,33,6
1777338278864,3,1,33,0
1777338279865,9,0,34,1
1777338280865,3,1,34,0
1777338281865,7,0,35,1
1777338282865,11,0,36,2
1777338283865,10,0,38,4
1777338284865,7,0,39,5
1777338285865,10,0,40,6
1777338286865,7,0,40,6
1777338287865,10,0,42,8
1777338288866,9,0,43,9
1777338289866,6,1,44,0
1777338290866,6,0,44,0
1777338291867,5,0,45,1
1777338292867,6,0,46,2
1777338293867,10,0,46,2
1777338294867,10,0,48,4
1777338295867,7,3,48,0
1777338296867,9,0,49,1
1777338297868,9,0,50,2
1777338298868,6,0,51,3
1777338299868,7,0,52,4
1777338300868,5,1,52,0
1777338301868,9,0,53,1
1777338302868,6,0,54,2
1777338303868,7,0,55,3
1777338304869,7,0,56,4
1777338305869,8,0,57,5
1777338306869,9,0,58,6
1777338307869,10,0,59,7
1777338308869,9,0,61,9
1777338309869,10,0,62,10
1777338310869,10,3,63,0
