timestampMs,keys_pressed,errors,total_words,current_streak
1777338842554,0,0,0,0
1777338843554,5,0,0,0
1777338844555,10,0,2,2
1777338845555,7,0,3,3
1777338846555,2,0,4,4
1777338847555,4,0,4,4
1777338848555,11,0,6,6
1777338849555,9,0,7,7
1777338850556,7,0,7,7
1777338851556,9,0,8,8
1777338852556,8,0,10,10
1777338853556,5,0,10,10
1777338854556,7,0,11,11
1777338855556,11,0,13,13
1777338856556,4,0,13,13
1777338857557,10,0,14,14
1777338858557,5,2,15,0
1777338859557,9,0,16,1
1777338860557,10,0,17,2
1777338861558,3,0,17,2
1777338862558,9,0,18,3
1777338863558,8,0,19,4
1777338864558,9,1,20,0
1777338865559,7,0,20,0
1777338866559,9,0,21,1
1777338867559,6,0,22,2
1777338868559,8,0,23,3
1777338869559,9,0,24,4
1777338870559,6,0,25,5
1777338871560,4,4,25,0
1777338872560,9,0,26,1
1777338873560,10,0,26,1
1777338874560,6,0,27,2
1777338875561,9,0,28,3
1777338876561,9,0,29,4
1777338877561,11,0,30,5
1777338878561,7,0,32,7
1777338879561,7,0,32,7
1777338880561,5,0,33,8
1777338881561,8,0,34,9
1777338882561,9,0,35,10
1777338883562,9,0,36,11
1777338884562,7,0,37,12
1777338885562,6,0,38,13
1777338886562,11,0,40,15
1777338887562,11,0,41,16
1777338888562,4,0,42,17
1777338889562,10,0,43,18
1777338890563,6,0,43,18
1777338891563,11,0,44,19
1777338892563,8,0,46,21
1777338893563,9,0,47,22
1777338894563,6,0,48,23
1777338895563,6,0,48,23
1777338896564,10,0,49,24
1777338897564,9,0,50,25
1777338898564,10,1,52,0
1777338899564,1,0,52,0
1777338900564,6,0,52,0
1777338901564,7,0,53,1
1777338902564,4,3,53,0
1777338903565,9,0,54,1
1777338904565,2,1,54,0
1777338905565,7,0,54,0
1777338906565,5,0,55,1
1777338907565,11,0,56,2
1777338908565,8,0,58,4
1777338909566,10,0,59,5
1777338910566,8,0,60,6
1777338911566,9,0,61,7
1777338912566,8,0,62,8
1777338913566,5,1,63,0
1777338914566,6,3,63,0
1777338915566,9,0,64,1
1777338916567,10,0,65,2
1777338917567,7,0,66,3
1777338918567,1,1,66,0
1777338919567,9,0,67,1
1777338920567,9,0,68,2
1777338921567,9,0,70,4
1777338922567,8,0,71,5
1777338923568,9,0,72,6
1777338924568,8,1,73,0
1777338925568,3,2,73,0
1777338926568,10,0,74,1
1777338927568,8,0,75,2
1777338928568,11,0,77,4
1777338929568,9,0,79,6
1777338930569,8,0,80,7
1777338931569,5,0,81,8
1777338932569,9,0,82,9
1777338933569,8,0,83,10
1777338934569,11,0,85,12
1777338935569,10,0,87,14
1777338936570,7,0,88,15
1777338937570,7,0,89,16
1777338938570,8,0,90,17
1777338939570,10,0,91,18
1777338940570,5,4,91,0
1777338941572,11,0,92,1
1777338942572,1,1,92,0
1777338943572,11,0,92,0
1777338944572,8,6,93,0
1777338945573,4,0,93,0
1777338946573,8,0,94,1
1777338947573,10,0,96,3
1777338948573,11,0,97,4
1777338949573,8,0,99,6
1777338950573,8,0,100,7
1777338951573,12,0,102,9
1777338952574,6,0,102,9
1777338953574,8,0,103,10
1777338954574,8,0,104,11
1777338955574,6,4,104,0
1777338956574,8,0,105,1
1777338957575,5,0,106,2
1777338958575,5,1,107,0
1777338959575,7,0,107,0
1777338960575,6,0,108,1
1777338961575,3,1,108,0
1777338962575,8,0,108,0
1777338963576,9,0,109,1
1777338964576,1,1,109,0
1777338965576,6,0,110,1
1777338966576,9,0,111,2
1777338967576,10,0,112,3
1777338968576,6,0,113,4
1777338969577,8,0,114,5
1777338970577,9,0,115,6
1777338971577,10,0,117,8
1777338972577,5,0,118,9
1777338973577,5,0,118,9
1777338974577,4,0,119,10
1777338975578,10,0,120,11
1777338976578,10,0,121,12
1777338977578,9,0,122,13
1777338978578,4,2,122,0
1777338979578,7,0,123,1
1777338980578,8,1,124,0
1777338981578,5,0,125,1
1777338982579,7,0,125,1
1777338983579,12,0,126,2
1777338984579,6,0,127,3
1777338985579,9,0,127,3
1777338986579,9,0,129,5
1777338987579,9,0,131,7
1777338988579,11,0,133,9
1777338989580,7,0,134,10
1777338990580,10,0,135,11
1777338991580,5,1,136,0
1777338992580,6,0,136,0
1777338993580,6,0,136,0
1777338994580,6,1,138,0
1777338995580,10,0,139,1
1777338996581,9,0,141,3
1777338997581,9,1,142,0
1777338998581,4,1,142,0
1777338999581,5,0,143,1
1777339000581,7,1,144,0
1777339001581,6,0,145,1
1777339002582,8,0,146,2
1777339003582,8,0,147,3
1777339004582,8,0,148,4
1777339005582,10,0,149,5
1777339006582,8,0,151,7
1777339007582,5,0,152,8
1777339008583,7,0,153,9
1777339009583,5,3,153,0
1777339010583,9,0,154,1
1777339011583,6,0,155,2
1777339012583,10,4,156,0
1777339013583,4,1,156,0
1777339014584,4,0,156,0
1777339015584,7,2,157,0
1777339016584,7,0,158,1
1777339017584,4,0,158,1
1777339018585,11,0,160,3
1777339019585,9,0,161,4
1777339020585,7,1,162,0
1777339021585,3,1,162,0
1777339022585,8,0,163,1
1777339023585,9,0,163,1
1777339024586,5,0,164,2
1777339025586,7,0,165,3
1777339026586,10,0,167,5
1777339027586,7,2,168,0
1777339028586,9,0,169,1
1777339029587,10,0,170,2
1777339030587,8,0,172,4
1777339031587,9,0,172,4
1777339032587,8,0,174,6
1777339033587,11,0,175,7
1777339034588,13,0,176,8
1777339035588,11,0,178,10
1777339036588,1,1,178,0
1777339037588,11,0,179,1
1777339038588,8,0,180,2
1777339039588,7,0,181,3
1777339040588,6,0,182,4
1777339041589,7,0,183,5
1777339042589,4,0,184,6
1777339043589,7,0,184,6
1777339044589,13,0,186,8
1777339045589,8,0,187,9
1777339046589,10,0,189,11
1777339047590,10,0,190,12
1777339048590,3,1,190,0
1777339049590,6,0,191,1
1777339050590,10,0,192,2
1777339051590,12,0,193,3
1777339052590,10,0,194,4
1777339053591,9,0,195,5
1777339054591,5,1,196,0
1777339055591,7,1,197,0
1777339056591,4,0,197,0
1777339057591,9,0,198,1
1777339058591,3,0,199,2
1777339059591,8,0,199,2
1777339060592,11,0,201,4
1777339061592,3,0,201,4
1777339062592,8,0,202,5
1777339063592,5,0,203,6
1777339064593,10,0,204,7
1777339065593,4,1,205,0
1777339066593,10,0,206,1
1777339067593,3,1,206,0
1777339068594,5,0,207,1
1777339069594,10,0,208,2
1777339070594,9,0,209,3
1777339071594,7,0,210,4
1777339072594,5,0,211,5
1777339073594,10,0,212,6
1777339074595,2,2,212,0
1777339075595,8,1,213,0
1777339076595,7,0,213,0
1777339077595,7,0,214,1
1777339078595,6,0,215,2
1777339079595,11,0,216,3
1777339080595,8,0,217,4
1777339081596,6,0,218,5
1777339082596,3,0,218,5
1777339083596,12,0,220,7
1777339084596,8,0,222,9
1777339085596,7,0,223,10
1777339086596,8,0,224,11
1777339087597,5,4,224,0
1777339088597,5,1,225,1
1777339089597,4,1,225,0
1777339090597,12,0,226,1
1777339091597,7,0,227,2
1777339092597,9,0,228,3
1777339093598,4,2,228,0
1777339094598,8,0,228,0
1777339095598,6,0,229,1
1777339096598,6,0,230,2
1777339097598,7,0,231,3
1777339098598,8,0,231,3
1777339099599,9,0,233,5
1777339100599,9,0,234,6
1777339101599,7,0,235,7
1777339102599,6,0,236,8
1777339103599,8,0,237,9
1777339104599,9,0,238,10
1777339105599,10,0,240,12
1777339106599,9,1,241,0
1777339107600,4,2,241,0
1777339108600,8,0,242,1
1777339109600,12,0,243,2
1777339110600,9,0,244,3
1777339111600,6,2,245,0
1777339112601,5,4,245,0
1777339113601,7,0,245,0
1777339114602,9,0,246,1
1777339115602,8,0,248,3
1777339116602,11,0,249,4
1777339117602,11,0,251,6
1777339118602,11,0,252,7
1777339119602,10,0,254,9
1777339120602,7,0,255,10
1777339121602,2,1,255,0
1777339122602,10,0,256,1
1777339123603,8,0,257,2
1777339124603,11,0,258,3
1777339125603,8,0,259,4
1777339126603,8,0,260,5
1777339127603,11,0,262,7
1777339128603,6,0,263,8
1777339129603,3,1,263,0
1777339130603,6,0,264,1
1777339131603,10,0,265,2
1777339132604,8,0,266,3
1777339133604,5,1,266,0
1777339134604,5,2,266,0
1777339135604,9,1,267,0
1777339136604,5,3,267,0
1777339137604,6,0,268,1
1777339138604,9,0,268,1
1777339139604,9,0,269,2
1777339140605,5,1,270,0
