timestampMs,keys_pressed,errors,total_correct,current_streak
1777339324469,0,0,0,0
1777339325469,1,0,1,1
1777339326469,2,0,3,3
1777339327470,2,0,5,5
1777339328470,2,0,7,7
1777339329470,2,0,9,9
1777339330470,2,0,11,11
1777339331470,2,0,13,13
1777339332471,2,0,15,15
1777339333471,3,0,18,18
1777339334471,2,0,20,20
1777339335471,2,0,22,22
1777339336471,2,0,24,24
1777339337471,2,0,26,26
1777339338472,2,0,28,28
1777339339472,2,0,30,30
1777339340472,3,0,33,33
1777339341472,2,0,35,35
1777339342472,2,0,37,37
1777339343472,1,0,38,38
1777339344473,1,0,39,39
1777339345473,3,0,42,42
1777339346473,2,0,44,44
1777339347473,2,0,46,46
1777339348473,1,0,47,47
1777339349474,2,0,49,49
1777339350474,2,0,51,51
1777339351474,2,0,53,53
1777339352474,1,1,53,0
1777339353474,1,0,54,1
1777339354474,2,0,56,3
1777339355475,2,0,58,5
1777339356475,3,0,61,8
1777339357475,2,0,63,10
1777339358475,2,0,65,12
1777339359475,1,0,66,13
1777339360476,2,1,67,1
1777339361476,2,0,69,3
1777339362476,3,0,72,6
1777339363476,2,0,74,8
1777339364476,1,0,75,9
1777339365476,1,0,76,10
1777339366476,2,0,78,12
1777339367477,2,0,80,14
1777339368477,2,0,82,16
1777339369477,2,0,84,18
1777339370477,2,0,86,20
1777339371477,2,0,88,22
1777339372478,2,0,90,24
1777339373478,3,0,93,27
1777339374478,1,0,94,28
1777339375478,2,0,96,30
1777339376478,1,1,96,0
1777339377478,2,0,98,2
1777339378479,2,0,100,4
1777339379479,2,0,102,6
1777339380479,2,0,104,8
1777339381479,2,0,106,10
1777339382479,2,0,108,12
1777339383480,2,1,109,1
1777339384480,2,0,111,3
1777339385480,1,0,112,4
1777339386480,2,0,114,6
1777339387480,1,0,115,7
1777339388480,2,0,117,9
1777339389481,0,0,117,9
1777339390481,2,0,119,11
1777339391481,1,0,120,12
1777339392481,3,0,123,15
1777339393481,2,0,125,17
1777339394481,2,0,127,19
1777339395481,2,0,129,21
1777339396482,1,0,130,22
1777339397482,2,0,132,24
1777339398482,2,0,134,26
1777339399482,2,0,136,28
1777339400482,2,0,138,30
1777339401483,2,0,140,32
1777339402483,1,0,141,33
1777339403483,2,0,143,35
1777339404483,1,0,144,36
1777339405483,2,0,146,38
1777339406483,2,0,148,40
1777339407484,2,0,150,42
1777339408484,2,0,152,44
1777339409484,2,0,154,46
1777339410484,3,0,157,49
1777339411484,2,0,159,51
1777339412485,2,0,161,53
1777339413485,3,0,164,56
1777339414485,2,1,165,0
1777339415485,2,0,167,2
1777339416485,2,0,169,4
1777339417485,2,0,171,6
1777339418486,2,0,173,8
1777339419486,1,0,174,9
1777339420486,1,0,175,10
1777339421486,2,0,177,12
1777339422486,2,0,179,14
1777339423486,2,0,181,16
1777339424487,1,0,182,17
1777339425487,3,0,185,20
1777339426487,2,0,187,22
1777339427487,2,0,189,24
1777339428487,1,0,190,25
1777339429488,2,0,192,27
1777339430488,1,0,193,28
1777339431488,2,0,195,30
1777339432488,1,0,196,31
1777339433488,2,0,198,33
1777339434489,1,1,198,0
1777339435489,2,0,200,2
1777339436489,1,0,201,3
1777339437489,1,0,202,4
1777339438489,1,0,203,5
1777339439489,2,0,205,7
1777339440490,2,0,207,9
1777339441490,2,0,209,11
1777339442490,2,0,211,13
1777339443490,2,0,213,15
1777339444490,2,0,215,17
1777339445490,2,0,217,19
1777339446491,2,0,219,21
1777339447491,2,0,221,23
1777339448491,2,0,223,25
1777339449491,2,0,225,27
1777339450491,2,1,226,0
1777339451492,1,0,227,1
1777339452492,2,0,229,3
1777339453492,1,0,230,4
1777339454492,2,0,232,6
1777339455492,2,0,234,8
1777339456492,2,0,236,10
1777339457493,2,0,238,12
1777339458493,2,0,240,14
1777339459493,1,0,241,15
1777339460494,2,0,243,17
1777339461494,1,0,244,18
1777339462494,2,0,246,20
1777339463494,1,0,247,21
1777339464494,3,0,250,24
1777339465494,1,0,251,25
1777339466495,2,0,253,27
1777339467495,2,0,255,29
1777339468495,2,0,257,31
1777339469495,2,0,259,33
1777339470495,2,0,261,35
1777339471496,2,0,263,37
1777339472496,1,0,264,38
1777339473496,2,0,266,40
1777339474496,2,0,268,42
1777339475496,1,0,269,43
1777339476496,2,0,271,45
1777339477496,1,0,272,46
1777339478496,2,0,274,48
1777339479497,2,0,276,50
1777339480497,1,0,277,51
1777339481497,1,0,278,52
1777339482497,2,0,280,54
1777339483497,1,1,280,0
1777339484497,3,0,283,3
1777339485498,2,0,285,5
1777339486498,1,0,286,6
1777339487498,2,0,288,8
1777339488498,3,0,291,11
1777339489498,2,0,293,13
1777339490499,2,0,295,15
1777339491499,2,0,297,17
1777339492499,2,0,299,19
1777339493499,2,0,301,21
1777339494499,2,0,303,23
1777339495499,2,0,305,25
1777339496500,2,0,307,27
1777339497500,2,0,309,29
1777339498500,3,0,312,32
1777339499500,1,1,312,0
1777339500500,1,0,313,1
1777339501500,2,0,315,3
1777339502501,2,0,317,5
1777339503501,1,0,318,6
1777339504501,3,0,321,9
1777339505501,2,0,323,11
1777339506501,2,0,325,13
1777339507502,1,0,326,14
1777339508502,2,0,328,16
1777339509502,2,0,330,18
1777339510502,2,0,332,20
1777339511502,1,0,333,21
1777339512502,1,0,334,22
1777339513503,2,0,336,24
1777339514503,1,0,337,25
1777339515503,2,0,339,27
1777339516503,1,0,340,28
1777339517503,1,0,341,29
1777339518504,2,0,343,31
1777339519504,2,0,345,33
1777339520504,2,0,347,35
1777339521504,2,0,349,37
1777339522504,2,0,351,39
1777339523504,2,0,353,41
1777339524505,2,0,355,43
1777339525505,2,0,357,45
1777339526505,2,0,359,47
1777339527505,2,0,361,49
1777339528505,2,0,363,51
1777339529505,2,0,365,53
1777339530506,2,0,367,55
1777339531506,2,0,369,57
1777339532506,2,0,371,59
1777339533506,1,0,372,60
1777339534506,2,0,374,62
1777339535506,2,0,376,64
1777339536507,2,0,378,66
1777339537507,2,0,380,68
1777339538507,1,0,381,69
1777339539507,1,0,382,70
1777339540507,2,0,384,72
1777339541507,2,0,386,74
1777339542508,3,0,389,77
1777339543508,1,0,390,78
1777339544508,1,0,391,79
1777339545508,2,0,393,81
1777339546508,2,0,395,83
1777339547508,3,0,398,86
1777339548509,2,0,400,88
1777339549509,2,0,402,90
1777339550509,2,0,404,92
1777339551509,2,0,406,94
1777339552509,1,0,407,95
1777339553510,2,0,409,97
1777339554510,2,0,411,99
1777339555510,2,0,413,101
1777339556510,1,0,414,102
1777339557510,1,0,415,103
1777339558511,2,1,416,1
1777339559511,1,0,417,2
1777339560511,2,0,419,4
1777339561511,2,0,421,6
1777339562511,2,0,423,8
1777339563512,2,0,425,10
1777339564512,2,0,427,12
1777339565512,2,0,429,14
1777339566512,1,0,430,15
1777339567512,3,0,433,18
1777339568513,2,1,434,1
1777339569513,1,0,435,2
1777339570513,2,0,437,4
1777339571513,2,0,439,6
1777339572513,2,0,441,8
1777339573514,1,0,442,9
1777339574514,3,0,445,12
1777339575514,1,0,446,13
1777339576514,2,0,448,15
1777339577514,2,0,450,17
1777339578514,1,0,451,18
1777339579515,1,0,452,19
1777339580515,3,0,455,22
1777339581515,2,0,457,24
1777339582515,2,0,459,26
1777339583515,1,0,460,27
1777339584516,2,0,462,29
1777339585516,2,0,464,31
1777339586516,1,0,465,32
