timestampMs,keys_pressed,errors,total_words,current_streak
1777340550652,0,0,0,0
1777340551652,2,0,0,0
1777340552652,6,0,1,1
1777340553652,10,0,2,2
1777340554652,10,0,3,3
1777340555653,3,0,4,4
1777340556653,14,0,5,5
1777340557653,9,0,7,7
1777340558653,10,0,8,8
1777340559653,10,0,10,10
1777340560653,8,0,10,10
1777340561653,10,0,11,11
1777340562653,11,0,13,13
1777340563654,9,0,14,14
1777340564654,9,0,15,15
1777340565654,7,0,16,16
1777340566654,7,0,18,18
1777340567654,9,0,19,19
1777340568654,12,0,21,21
1777340569655,5,1,22,1
1777340570655,12,0,23,2
1777340571655,12,2,24,0
1777340572655,0,0,24,0
1777340573655,8,0,25,1
1777340574655,5,2,25,0
1777340575656,11,0,27,2
1777340576656,9,0,29,4
1777340577656,9,0,30,5
1777340578656,5,1,31,0
1777340579656,7,0,32,1
1777340580656,11,0,34,3
1777340581656,3,2,34,0
1777340582657,7,0,34,0
1777340583657,6,5,35,0
1777340584657,2,2,35,0
1777340585657,3,0,35,0
1777340586657,9,0,37,2
1777340587657,9,0,38,3
1777340588658,8,0,39,4
1777340589658,3,1,39,0
1777340590658,6,3,39,0
1777340591658,8,0,39,0
1777340592658,5,0,40,1
1777340593658,7,0,41,2
1777340594659,7,0,42,3
1777340595659,13,0,43,4
1777340596659,6,0,44,5
1777340597659,7,0,45,6
1777340598659,7,0,46,7
1777340599659,6,1,47,0
1777340600660,4,0,47,0
1777340601660,6,0,48,1
1777340602660,9,0,49,2
1777340603660,8,0,50,3
1777340604660,9,0,52,5
1777340605660,9,0,53,6
1777340606660,7,1,53,0
1777340607661,5,0,54,1
1777340608661,6,0,54,1
1777340609661,7,0,55,2
1777340610661,7,0,56,3
1777340611662,9,0,57,4
1777340612662,11,0,58,5
1777340613662,6,1,59,0
1777340614662,4,0,59,0
1777340615662,6,0,60,1
1777340616662,9,0,61,2
1777340617663,5,0,62,3
1777340618663,7,4,62,0
1777340619664,10,0,63,1
1777340620664,8,0,64,2
1777340621664,9,0,64,2
1777340622664,8,0,66,4
1777340623665,9,0,67,5
1777340624665,8,0,68,6
1777340625665,7,0,69,7
1777340626665,9,0,70,8
1777340627665,6,2,71,0
